prefixed_root,prefixes,unprefixed_root,hom
samAve,sam-A,ve,1
samAvyaD,sam-A,vyaD,
samAvraj,sam-A,vraj,
samASaMs,sam-A,SaMs,
samASri,sam-A,Sri,1
samASru,sam-A,Sru,1
samASliz,sam-A,Sliz,1
samASvas,sam-A,Svas,1
samAs,sam,As,2
samAsaYj,sam-A,saYj,1
samAsad,sam-A,sad,2
samAsic,sam-A,sic,1
samAsfj,sam-A,sfj,1
samAsev,sam-A,sev,
samAskand,sam-A,skand,
samAstf,sam-A,stf,1
samAsTA,sam-A,sTA,1
samAhan,sam-A,han,1
samAhf,sam-A,hf,1
samAhve,sam-A,hve,
sami,sam,i,5
saminD,sam,inD,
saminv,sam,inv,
samIkf,samI,kf,1
samIkz,sam,Ikz,
samIj,sam,Ij,
samIpIkf,samIpI,kf,1
samIpIBU,samIpI,BU,1
samIBU,samI,BU,1
samIz,sam,Iz,1
samIh,sam,Ih,
samukz,sam,ukz,1
samuc,sam,uc,
samuccar,sam-ud,car,
samuccal,sam-ud,cal,
samucci,sam-ud,ci,1
samucCad,sam-ud,Cad,1
samucCal,sam-ud,Sal,1
samucCid,sam-ud,Cid,
samucCuz,sam-ud,Suz,1
samucCri,sam-ud,Sri,1
samucCvas,sam-ud,Svas,1
samujjfmB,sam-ud,jfmB,
samujjval,sam-ud,jval,
samujJ,sam,ujJ,
samutkfz,sam-ud,kfz,1
samutkram,sam-ud,kram,
samutkzip,sam-ud,kzip,1
samutKan,sam-ud,Kan,
samuttF,sam-ud,tF,
samutTA,sam-ud,sTA,1
samutpaw,sam-ud,paw,
samutpat,sam-ud,pat,1
samutpad,sam-ud,pad,1
samutplu,sam-ud,plu,
samutsah,sam-ud,sah,1
samutsfj,sam-ud,sfj,1
samutsfp,sam-ud,sfp,
samud,sam,ud,2
samudaYc,sam-ud,aYc,1
samudAgam,sam-ud-A,gam,1
samudAcar,sam-ud-A,car,
samudAvah,sam-ud-A,vah,1
samudAhf,sam-ud-A,hf,1
samudi,sam-ud,i,5
samudIkz,sam-ud,Ikz,
samudIz,sam-ud,Iz,1
samudgam,sam-ud,gam,1
samudguYj,sam-ud,guYj,
samudgrah,sam-ud,grah,
samudGfz,sam-ud,Gfz,2
samuddiS,sam-ud,diS,1
samuddyut,sam-ud,dyut,2
samuddru,sam-ud,dru,1
samudDA,sam-ud,hA,2
samudDU,sam-ud,DU,1
samudDf,sam-ud,hf,1
samudDfz,sam-ud,hfz,
samudbfh,sam-ud,bfh,1
samudBU,sam-ud,BU,1
samudyam,sam-ud,yam,
samudyA,sam-ud,yA,1
samudvah,sam-ud,vah,1
samudvij,sam-ud,vij,1
samudvIkz,sam-ud-vi,Ikz,
samunnad,sam-ud,nad,
samunnam,sam-ud,nam,
samunnah,sam-ud,nah,1
samunnI,sam-ud,nI,2
samunmajj,sam-ud,majj,
samunmiz,sam-ud,miz,1
samunmIl,sam-ud,mIl,
samunmUl,sam-ud,mUl,
samunmfj,sam-ud,mfj,1
samupakfz,sam-upa,kfz,1
samupakxp,sam-upa,kxp,
samupakram,sam-upa,kram,
samupagam,sam-upa,gam,1
samupaguh,sam-upa,guh,1
samupaGrA,sam-upa,GrA,
samupaci,sam-upa,ci,1
samupajan,sam-upa,jan,
samupajYA,sam-upa,jYA,1
samupadiS,sam-upa,diS,1
samupadru,sam-upa,dru,1
samupaDA,sam-upa,DA,1
samupaDAv,sam-upa,DAv,1
samupanI,sam-upa,nI,2
samupanyas,sam-upa-ni,as,1
samupapad,sam-upa,pad,1
samupaBuj,sam-upa,Buj,1
samupayA,sam-upa,yA,1
samupayuj,sam-upa,yuj,1
samuparuj,sam-upa,ruj,1
samuparuD,sam-upa,ruD,1
samupalakz,sam-upa,lakz,
samupalaB,sam-upa,laB,
samupavas,sam-upa,vas,2
samupavah,sam-upa,vah,1
samupaviS,sam-upa,viS,
samupavft,sam-upa,vft,1
samupaSam,sam-upa,Sam,1
samupaSru,sam-upa,Sru,1
samupasaMhf,sam-upa-sam,hf,1
samupasad,sam-upa,sad,2
samupasf,sam-upa,sf,
samupasfp,sam-upa,sfp,
samupasev,sam-upa,sev,
samupasTA,sam-upa,sTA,1
samupaspfS,sam-upa,spfS,1
samupahf,sam-upa,hf,1
samupahve,sam-upa,hve,
samupAkf,sam-upa-A,kf,1
samupAgam,sam-upa-A,gam,1
samupAcar,sam-upa-A,car,
samupAdA,sam-upa-A,dA,1
samupAnI,sam-upa-A,nI,2
samupAyA,sam-upa-A,yA,1
samupAruh,sam-upa-A,ruh,1
samupArj,sam-upa-A,arj,
samupAviS,sam-upa-A,viS,
samupAs,sam-upa-A,As,2
samupAsTA,sam-upa-A,sTA,1
samupAhf,sam-upa-A,hf,1
samupe,sam-upa-A,i,5
samupekz,sam-upa,Ikz,
samupoz,sam-upa-A,uz,1
samubj,sam,ubj,
samuB,sam,uB,
samullaNG,sam-ud,laNG,
samullas,sam-ud,las,1
samulliK,sam-ud,liK,
samullup,sam-ud,lup,1
samuz,sam,uz,1
samUh,sam,Uh,1
samf,sam,f,4
samfdDIkf,samfdDI,kf,1
samfD,sam,fD,
samfz,sam,fz,1
same,sam-A,i,5
samej,sam,ej,
sameD,sam,eD,
samer,sam-A,Ir,
sampaW,sam,paW,
sampat,sam,pat,1
sampad,sam,pad,1
samparikIrt,sam-pari,kIrt,
samparikram,sam-pari,kram,
sampariKyA,sam-pari,KyA,
samparigrah,sam-pari,grah,
samparicar,sam-pari,car,
samparituz,sam-pari,tuz,
samparityaj,sam-pari,tyaj,1
sampariplu,sam-pari,plu,
sampariBU,sam-pari,BU,1
samparimud,sam-pari,mud,1
samparirakz,sam-pari,rakz,1
sampariraB,sam-pari,raB,
samparivf,sam-pari,vf,1
samparivft,sam-pari,vft,1
sampariSri,sam-pari,Sri,1
samparizvaYj,sam-pari,svaYj,
samparihf,sam-pari,hf,1
samparI,sam-pari,i,5
sampaS,sam,paS,3
sampA,sam,pA,1
sampAl,sam,pAl,
sampiRq,sam,piRq,
sampiz,sam,piz,
sampIq,sam,pIq,
sampuwIkf,sampuwI,kf,1
sampuz,sam,puz,1
sampU,sam,pU,1
sampfc,sam,pfc,1
samprakamp,sam-pra,kamp,
samprakAS,sam-pra,kAS,
samprakf,sam-pra,kf,1
samprakfz,sam-pra,kfz,1
samprakram,sam-pra,kram,
samprakliS,sam-pra,kliS,
samprakzip,sam-pra,kzip,1
samprakzuB,sam-pra,kzuB,1
sampragAh,sam-pra,gAh,
sampragF,sam-pra,gF,1
sampragE,sam-pra,gE,
sampragrah,sam-pra,grah,
sampraGfz,sam-pra,Gfz,2
sampracakz,sam-pra,cakz,
sampracar,sam-pra,car,
sampraci,sam-pra,ci,1
sampracCid,sam-pra,Cid,
sampraC,sam,praC,
samprajan,sam-pra,jan,
samprajYA,sam-pra,jYA,1
samprajval,sam-pra,jval,
sampraRiDA,sam-pra-ni,DA,1
sampratark,sam-pra,tark,
sampratigrah,sam-prati,grah,
sampratijYA,sam-prati,jYA,1
sampratinand,sam-prati,nand,
sampratipad,sam-prati,pad,1
sampratiBA,sam-prati,BA,1
sampratiBAz,sam-prati,BAz,1
sampratiziD,sam-prati,siD,1
sampratizWA,sam-prati,sTA,1
sampratI,sam-prati,i,5
sampratIkz,sam-prati,Ikz,
sampratIz,sam-prati,iz,1
sampratuz,sam-pra,tuz,
sampratF,sam-pra,tF,
sampradah,sam-pra,dah,1
sampradA,sam-pra,dA,1
sampradiS,sam-pra,diS,1
sampraduz,sam-pra,duz,2
sampradru,sam-pra,dru,1
samprapad,sam-pra,pad,1
samprabAD,sam-pra,bAD,
samprabuD,sam-pra,buD,
sampraBA,sam-pra,BA,1
sampraBAz,sam-pra,BAz,1
sampramaT,sam-pra,maT,1
sampramuc,sam-pra,muc,1
sampramuh,sam-pra,muh,1
sampramokz,sam-pra,mokz,
samprayat,sam-pra,yat,2
samprayam,sam-pra,yam,
samprayA,sam-pra,yA,1
samprayAc,sam-pra,yAc,
samprayuj,sam-pra,yuj,1
samprayuD,sam-pra,yuD,1
sampraruc,sam-pra,ruc,1
sampralI,sam-pra,lI,1
sampravac,sam-pra,vac,
sampravad,sam-pra,vad,
sampravip,sam-pra,vip,1
sampraviS,sam-pra,viS,
sampravft,sam-pra,vft,1
sampravfD,sam-pra,vfD,
samprave,sam-pra,ve,1
sampraSAs,sam-pra,SAs,1
samprasad,sam-pra,sad,2
samprasah,sam-pra,sah,1
samprasU,sam-pra,sU,2
samprasfp,sam-pra,sfp,
samprasTA,sam-pra,sTA,1
sampraspfS,sam-pra,spfS,1
samprasru,sam-pra,sru,
samprahas,sam-pra,has,1
samprahA,sam-pra,hA,3
samprahf,sam-pra,hf,1
samprahfz,sam-pra,hfz,
samprAp,sam-prA,Ap,1
samprArT,sam-prA,arT,
samprI,sam,prI,1
sampre,sam-prA,i,5
samprekz,sam-pra,Ikz,
samprer,sam-pra,Ir,
samprez,sam-prA,iz,1
samprokz,sam-prA,ukz,1
samprorRu,sam-prA,UrRu,
samplu,sam,plu,
sambanD,sam,banD,
sambAD,sam,bAD,
sambuD,sam,buD,
sambfh,sam,bfh,1
sambfh,sam,bfh,2
sambrU,sam,brU,
samBakz,sam,Bakz,
samBaj,sam,Baj,
samBaYj,sam,BaYj,1
samBal,sam,Bal,
samBA,sam,BA,1
samBAz,sam,BAz,1
samBid,sam,Bid,1
samBuj,sam,Buj,3
samBU,sam,BU,1
samBUz,sam,BUz,
samBf,sam,Bf,1
samBraMS,sam,BraMS,
samBram,sam,Bram,
samBraS,sam,BraS,
samBrAj,sam,BrAj,1
sammad,sam,mad,2
samman,sam,man,
sammantr,sam,mantr,
sammand,sam,mand,1
sammA,sam,mA,3
sammi,sam,mi,1
sammil,sam,mil,
sammIl,sam,mIl,
sammuKIkf,sammuKI,kf,1
sammuKIBU,sammuKI,BU,1
sammuc,sam,muc,1
sammurC,sam,murC,
sammuz,sam,muz,1
sammuh,sam,muh,1
sammfj,sam,mfj,1
sammfR,sam,mfR,
sammfd,sam,mfd,1
sammfS,sam,mfS,1
sammokz,sam,mokz,
saralIkf,saralI,kf,1
sarasIkf,sarasI,kf,1
sarpIBU,sarpI,BU,1
saviDIkf,saviDI,kf,1
saviDIBU,saviDI,BU,1
sahAyIBU,sahAyI,BU,1
sahArTIBU,sahArTI,BU,1
sAkzAtkf,sAkzAt,kf,1
sAkzAdBU,sAkzAt,BU,1
sAkzimAtrAkf,sAkzimAtrA,kf,1
sAkzIkf,sAkzI,kf,1
sAkzIBU,sAkzI,BU,1
sAcIkf,sAcI,kf,1
sAtmIBU,sAtmI,BU,1
sADanIkf,sADanI,kf,1
sADAraRIkf,sADAraRI,kf,1
sAndrIBU,sAndrI,BU,1
sArasvatOzaDIBU,sArasvatOzaDI,BU,1
sArTIkf,sArTI,kf,1
sAvaDAnIkf,sAvaDAnI,kf,1
sAvaDAnIBU,sAvaDAnI,BU,1
sAvayavIkf,sAvayavI,kf,1
siMhIkf,siMhI,kf,1
siMhIBU,siMhI,BU,1
sitIkf,sitI,kf,1
suKAkf,suKA,kf,1
suguptIkf,suguptI,kf,1
suDIkf,suDI,kf,1
suPalIkf,suPalI,kf,1
sumanIkf,sumanI,kf,1
sumanIBU,sumanI,BU,1
suraBIkf,suraBI,kf,1
suvarRIBU,suvarRI,BU,1
susajjIkf,susajjI,kf,1
sUkzmIkf,sUkzmI,kf,1
sUtrIkf,sUtrI,kf,1
sfkkf,sfk,kf,1
somIkf,somI,kf,1
skanDIkf,skanDI,kf,1
stamBIBU,stamBI,BU,1
starIkf,starI,kf,1
sTapuwIkf,sTapuwI,kf,1
sTalapaTIkf,sTalapaTI,kf,1
sTalIBU,sTalI,BU,1
sTAyIBU,sTAyI,BU,1
sTirIkf,sTirI,kf,1
sTirIBU,sTirI,BU,1
spazwIkf,spazwI,kf,1
sPArIBU,sPArI,BU,1
sPItIkf,sPItI,kf,1
sPuwIkf,sPuwI,kf,1
sPuwIBU,sPuwI,BU,1
smarezuDIkf,smarezuDI,kf,1
svagAkf,svagA,kf,1
svapatIkf,svapatI,kf,1
svarasIkf,svarasI,kf,1
svalpIBU,svalpI,BU,1
svasTIkf,svasTI,kf,1
svasTIBU,svasTI,BU,1
svAgatIkf,svAgatI,kf,1
svAdUkf,svAdU,kf,1
svAyattIkf,svAyattI,kf,1
svASliz,su-A,Sliz,1
svIkf,svI,kf,1
hastIkf,hastI,kf,1
hastekf,haste,kf,1
himIkf,himI,kf,1
huMkf,huM,kf,1
hetUkf,hetU,kf,1
